,Calle,Colonia,Delegacion,Estado,Foto,HerramientasFaltantes,HerramientasSobrantes,Hora,HoradelReporte,ManodeObraFaltante,ManodeObraSobrantes,MedicamentosFaltantes,MedicamentosSobrantes,NumeroExterioroAproximado,NumerodePersonasAtrapadas,NumerodePersonasDesaparecidas,NumerodePersonasFallecidas,NumerodePersonasLesionadas,NumerodePersonasRescatadas,OtraReferenciadeUbicacion,Timestamp,TipodeInfraestructura,TipodeUso,TipodelDano,Verificado,ViveresFaltantes,ViveresSobrantes,latitud,longitud
30,,Mision Santa FE,Guadalupe,Nuevo León,,,,,,,,,,,,,,,,,2017-09-19 18:52:48,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Medicamentos, Ropa",,25.648907,-100.1766289
31,,Cuajimalpa,Cruz Manca ,México,,,,,,,,,,,,,,,,,2017-09-19 18:53:51,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Transporte, Manos, Asistencia médica, Peritajes, Artículos de limpieza, Medicamentos, Carpas, tiendas de campaña, Ropa, Gasolina",,19.3631419,-99.2880597
32,,Xonacatepec,Puebla,Puebla,,,,,,,,,,,,,,,,,2017-09-19 19:02:12,,,Ofrezco,,"Comida, Agua, Transporte, Manos, Artículos de limpieza, Medicamentos, Ropa",,19.0699079,-98.1215677
33,,lomas de san angel inn,Alvaro obregon,mexico,,,,,,,,,,,,,,,,,2017-09-19 19:02:46,,,Ofrezco,,"Agua, Manos",,19.3491097,-99.1979311
34,,Granada,Miguel Hidalgo,México,,,,,,,,,,,,,,,,,2017-09-19 19:05:28,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Peritajes, Ropa",,19.4409348,-99.1885208
35,,Antigua Hacienda Santa anita,Monterrey,Nuevo León ,,,,,,,,,,,,,,,,,2017-09-19 19:08:08,,,Ofrezco,,"Comida, Agua, Ropa",,25.5307769,-100.2071004
36,,Olivar del conde,Álvaro Obregón,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-19 19:08:18,,,Ofrezco,,"Comida, Agua, Manos, Ropa",,19.372093,-99.213741
37,,Arenal Tepepan,Tlalpan,Distrito Federal,,,,,,,,,,,,,,,,,2017-09-19 19:11:41,,,Ofrezco,,"Refugio / Dónde dormir, Manos, Ropa",,19.2866188,-99.152534
38,,OBRERO POPULAR,AZCAPOTZALCO,CDMX,,,,,,,,,,,,,,,,,2017-09-19 19:14:59,,,Ofrezco,,Manos,,19.416202,-99.130428
39,,Tlatelolco,Cuauhtemoc,Ciudad de mexico,,,,,,,,,,,,,,,,,2017-09-19 19:16:50,,,Ofrezco,,"Agua, Manos",,19.4523693,-99.1384147
