Calle,Colonia,Delegacin,EspecialistasFaltantesseparaporcomas,Estado,Foto,HerramientasExistentes,HerramientasFaltantes,Hora,HoradelReporte,ManodeObraExistente,ManodeObraFaltante,MedicamentosExistentes,MedicamentosFaltantes,Municipio,NmeroExterioroAproximado,NmerodePersonasAtrapadas,NmerodePersonasDesaparecidas,NmerodePersonasFallecidas,NmerodePersonasLesionadas,NmerodePersonasRescatadas,OtraReferenciadeUbicacin,Timestamp,TipoDao,TipodeInfraestructura,TipodeUso,TipodelDao,Verificado,VveresExistentes,VveresFaltantes,VveresSobrantes,latitud,longitud
J. Enrique Pestalozzi,Narvarte Poniente,Benito Juárez,"Se solicita quien certifique y descarte daño estructural. Actualmente la mayoría de los habitantes han abandonado el edificio. Se encuentra muy dañado a la vista. Es un edificio muy grande y pesado, por lo que probablemente no se derrumbe, pero muy probablemente no sobreviva un sismo de considerable magnitud, afectando inmuebles vecinos. ",Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,611.0,0,0,0,No sé,0,Torre Adalid y Luz Saviñon,9/22/2017 9:26:28,Daño,Edificio,Habitacional,Daño,No,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.390748300000002,-99.158695
Progreso ,Escandon,Miguel Hidalgo,"Ingenieros, arquitectos, ",Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,184.0,0,0,0,0,0,Esquina con calle prosperidad,9/22/2017 9:26:52,Daño,Edificio,Habitacional,Daño,No,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.359622199999997,-99.17486740000001
Cerro de la Estrella,Campestre Churubusco,Coyoacán,No se está solicitando apoyo de voluntarios.,Ciudad de México,,No se están solicitando donaciones,No se están solicitando donaciones,,,No se está solicitando apoyo de voluntarios.,No se está solicitando apoyo de voluntarios.,No se están solicitando donaciones,No se están solicitando donaciones,Delegación Coyoacán,251.0,0,0,0,0,0,Entre Av. Cerro de las Torres y Cerro del Mercado,9/22/2017 9:50:49,Daño,Edificio,Habitacional,Daño,Sí,No se están solicitando donaciones,No se están solicitando donaciones,Si tienes info entra a: http://bit.ly/Verificado19s,19.3458354,-99.1336297
Miguel Laurent,Portales Norte,Benito Juárez,Se solicita dar atención a este inmueble el cual aparentemente sufrió daño severos y se encuentra inhabitable ,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,1407.0,0,0,0,No sé,0,Trípoli y Azores ,9/22/2017 9:54:53,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.3731384,-99.153377
Calle 5 de mayo,Valle de Luces,Iztapalapa,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,61.0,,,,,,Entre calle Tizoc y antiguo camino a los reyes edificio blanco con rojo,9/22/2017 10:49:48,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.3474051,-99.0245333
EJE CENTRAL,PORTALES NORTE,Benito Juárez,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,521.0,No sé,No sé,No sé,No sé,No sé,EMPERADORES Y PRESIDENTES,9/22/2017 11:01:37,Daño,Edificio,EDIFICIO DEPARTAMENTOS EN OBRA,Daño,No,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.3670573,-99.1503074
San Borja,Del Valle Norte,Benito Juárez,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,908.0,0,0,0,0,0,,9/22/2017 11:50:47,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.384039899999998,-99.1628386
Paz Montes de oca,Xoco,Benito Juárez,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,93.0,No sé,No sé,No sé,No sé,No sé,,9/22/2017 12:07:29,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.3604104,-99.15792650000002
Linares,Roma Sur,,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,43.0,0,No sé,No sé,No sé,No sé,entre baja california y tehuantepec,9/22/2017 12:20:57,Daño,Edificio,Habitacional,Daño,,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.4057365,-99.1603654
Aguascalientes,Roma sur,Cuauhtémoc,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,8.0,No sé,No sé,No sé,No sé,No sé,Entre Monterrey y Tonala ,9/22/2017 12:23:54,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.4094034,-99.160889
