"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","entidad","Delegaci__n","colonia","lugar","entrecalles","calle","numero_exterior","Necesidades","link_google_maps","lon","lat","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-99.193352, 19.448796",-99.193352,19.448796,NA,"entidad: CdMx<br>Delegación: Miguel Hidalgo<br>colonia: Reforma Pensil<br>lugar: Deportivo Pavón.<br>entrecalles: <br>calle: Lago Trasimeno s/n, Pensil Norte, Reforma Pensil<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Deportivo+Jos%C3%A9+Mar%C3%ADa+Morelos+y+Pav%C3%B3n/@19.4489988,-99.1955624,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2020bf1d748ab:0xc4d8cce552ab429c!8m2!3d19.4489988!4d-99.1933737?hl=es<br>lon: -99.193352<br>lat: 19.448796",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Miguel Hidalgo","Reforma Pensil","Deportivo Pavón.","","Lago Trasimeno s/n, Pensil Norte, Reforma Pensil","",NA,"https://www.google.com.mx/maps/place/Deportivo+Jos%C3%A9+Mar%C3%ADa+Morelos+y+Pav%C3%B3n/@19.4489988,-99.1955624,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2020bf1d748ab:0xc4d8cce552ab429c!8m2!3d19.4489988!4d-99.1933737?hl=es",-99.193352,19.448796,"Lago Trasimeno 16B, Reforma Pensil, 11440 Ciudad de México, CDMX, Mexico","Lago Trasimeno","16B","Reforma Pensil",11440,"Miguel Hidalgo","Ciudad de México","Mexico",19.448796,-99.193352
"-99.193352, 19.448796",-99.193352,19.448796,NA,"entidad: CdMx<br>Delegación: Miguel Hidalgo<br>colonia: Reforma Pensil<br>lugar: Deportivo Pavón.<br>entrecalles: <br>calle: Lago Trasimeno s/n, Pensil Norte, Reforma Pensil<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Deportivo+Jos%C3%A9+Mar%C3%ADa+Morelos+y+Pav%C3%B3n/@19.4489988,-99.1955624,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2020bf1d748ab:0xc4d8cce552ab429c!8m2!3d19.4489988!4d-99.1933737?hl=es<br>lon: -99.193352<br>lat: 19.448796",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Miguel Hidalgo","Reforma Pensil","Deportivo Pavón.","","Lago Trasimeno s/n, Pensil Norte, Reforma Pensil","",NA,"https://www.google.com.mx/maps/place/Deportivo+Jos%C3%A9+Mar%C3%ADa+Morelos+y+Pav%C3%B3n/@19.4489988,-99.1955624,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2020bf1d748ab:0xc4d8cce552ab429c!8m2!3d19.4489988!4d-99.1933737?hl=es",-99.193352,19.448796,"Lago Trasimeno 16B, Reforma Pensil, 11440 Ciudad de México, CDMX, Mexico","Lago Trasimeno","16B","Reforma Pensil",11440,"Miguel Hidalgo","Ciudad de México","Mexico",19.448796,-99.193352
"-99.188787, 19.405886",-99.188787,19.405886,NA,"entidad: CdMx<br>Delegación: Miguel Hidalgo<br>colonia: Parque Lira.<br>lugar: Museo<br>entrecalles: <br>calle: Calle Parque Lira 136, San Miguel Chapultepec I Secc<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Parque+Lira/@19.4087361,-99.7539062,9z/data=!4m8!1m2!2m1!1sParque+Lira!3m4!1s0x85d1ff602023b927:0x1fddc46a70142978!8m2!3d19.4054861!4d-99.189804?hl=es<br>lon: -99.188787<br>lat: 19.405886",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Miguel Hidalgo","Parque Lira.","Museo","","Calle Parque Lira 136, San Miguel Chapultepec I Secc","",NA,"https://www.google.com.mx/maps/place/Parque+Lira/@19.4087361,-99.7539062,9z/data=!4m8!1m2!2m1!1sParque+Lira!3m4!1s0x85d1ff602023b927:0x1fddc46a70142978!8m2!3d19.4054861!4d-99.189804?hl=es",-99.188787,19.405886,"Calle Parque Lira 136, San Miguel Chapultepec I Secc, 11850 Ciudad de México, CDMX, Mexico","Calle Parque Lira","136","San Miguel Chapultepec I Sección",11850,"Miguel Hidalgo","Ciudad de México","Mexico",19.405886,-99.188787
"-99.188787, 19.405886",-99.188787,19.405886,NA,"entidad: CdMx<br>Delegación: Miguel Hidalgo<br>colonia: Parque Lira.<br>lugar: Museo<br>entrecalles: <br>calle: Calle Parque Lira 136, San Miguel Chapultepec I Secc<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Parque+Lira/@19.4087361,-99.7539062,9z/data=!4m8!1m2!2m1!1sParque+Lira!3m4!1s0x85d1ff602023b927:0x1fddc46a70142978!8m2!3d19.4054861!4d-99.189804?hl=es<br>lon: -99.188787<br>lat: 19.405886",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Miguel Hidalgo","Parque Lira.","Museo","","Calle Parque Lira 136, San Miguel Chapultepec I Secc","",NA,"https://www.google.com.mx/maps/place/Parque+Lira/@19.4087361,-99.7539062,9z/data=!4m8!1m2!2m1!1sParque+Lira!3m4!1s0x85d1ff602023b927:0x1fddc46a70142978!8m2!3d19.4054861!4d-99.189804?hl=es",-99.188787,19.405886,"Calle Parque Lira 136, San Miguel Chapultepec I Secc, 11850 Ciudad de México, CDMX, Mexico","Calle Parque Lira","136","San Miguel Chapultepec I Sección",11850,"Miguel Hidalgo","Ciudad de México","Mexico",19.405886,-99.188787
"-99.0407647, 19.205914",-99.0407647,19.205914,NA,"entidad: <br>Delegación: MilpaAlta<br>colonia: Santa Martha<br>lugar: Gimnasio de Villa Milpa Alta<br>entrecalles: <br>calle: Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633<br>lon: -99.0407647<br>lat: 19.205914",NA,NA,NA,NA,-1,0,-1,NA,NA,"","MilpaAlta","Santa Martha","Gimnasio de Villa Milpa Alta","","Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha","",NA,"https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633",-99.0407647,19.205914,"Xaltepec, San Pedro Atocpan, 12200 Ciudad de México, CDMX, Mexico","Xaltepec",NA,NA,12200,"Milpa Alta","Ciudad de México","Mexico",19.205914,-99.0407647
"-99.0407647, 19.205914",-99.0407647,19.205914,NA,"entidad: <br>Delegación: MilpaAlta<br>colonia: Santa Martha<br>lugar: Gimnasio de Villa Milpa Alta<br>entrecalles: <br>calle: Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633<br>lon: -99.0407647<br>lat: 19.205914",NA,NA,NA,NA,-1,0,-1,NA,NA,"","MilpaAlta","Santa Martha","Gimnasio de Villa Milpa Alta","","Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha","",NA,"https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633",-99.0407647,19.205914,"Xaltepec, San Pedro Atocpan, 12200 Ciudad de México, CDMX, Mexico","Xaltepec",NA,NA,12200,"Milpa Alta","Ciudad de México","Mexico",19.205914,-99.0407647
"-99.0407647, 19.205914",-99.0407647,19.205914,NA,"entidad: <br>Delegación: MilpaAlta<br>colonia: Santa Martha<br>lugar: Gimnasio de Villa Milpa Alta<br>entrecalles: <br>calle: Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633<br>lon: -99.0407647<br>lat: 19.205914",NA,NA,NA,NA,-1,0,-1,NA,NA,"","MilpaAlta","Santa Martha","Gimnasio de Villa Milpa Alta","","Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha","",NA,"https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633",-99.0407647,19.205914,"Xaltepec, San Pedro Atocpan, 12200 Ciudad de México, CDMX, Mexico","Xaltepec",NA,NA,12200,"Milpa Alta","Ciudad de México","Mexico",19.205914,-99.0407647
"-99.0407647, 19.205914",-99.0407647,19.205914,NA,"entidad: <br>Delegación: MilpaAlta<br>colonia: Santa Martha<br>lugar: Gimnasio de Villa Milpa Alta<br>entrecalles: <br>calle: Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633<br>lon: -99.0407647<br>lat: 19.205914",NA,NA,NA,NA,-1,0,-1,NA,NA,"","MilpaAlta","Santa Martha","Gimnasio de Villa Milpa Alta","","Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha","",NA,"https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633",-99.0407647,19.205914,"Xaltepec, San Pedro Atocpan, 12200 Ciudad de México, CDMX, Mexico","Xaltepec",NA,NA,12200,"Milpa Alta","Ciudad de México","Mexico",19.205914,-99.0407647
"-99.1881, 19.296697",-99.1881,19.296697,NA,"entidad: CdMx<br>Delegación: Tlalpan<br>colonia: Miguel Hidalgo Villa Olímpica<br>lugar: Villa Olímpica<br>entrecalles: <br>calle: Avenida Insurgentes <br>numero_exterior: Sur 3493<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es<br>lon: -99.1881<br>lat: 19.296697",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Tlalpan","Miguel Hidalgo Villa Olímpica","Villa Olímpica","","Avenida Insurgentes","Sur 3493",NA,"https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es",-99.1881,19.296697,"Av. Insurgentes Sur 3493, Miguel Hidalgo Villa Olímpica, 14250 Ciudad de México, CDMX, Mexico","Avenida Insurgentes Sur","3493","Miguel Hidalgo Villa Olímpica",14250,"Tlalpan","Ciudad de México","Mexico",19.296697,-99.1881
"-99.1881, 19.296697",-99.1881,19.296697,NA,"entidad: CdMx<br>Delegación: Tlalpan<br>colonia: Miguel Hidalgo Villa Olímpica<br>lugar: Villa Olímpica<br>entrecalles: <br>calle: Avenida Insurgentes <br>numero_exterior: Sur 3493<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es<br>lon: -99.1881<br>lat: 19.296697",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Tlalpan","Miguel Hidalgo Villa Olímpica","Villa Olímpica","","Avenida Insurgentes","Sur 3493",NA,"https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es",-99.1881,19.296697,"Av. Insurgentes Sur 3493, Miguel Hidalgo Villa Olímpica, 14250 Ciudad de México, CDMX, Mexico","Avenida Insurgentes Sur","3493","Miguel Hidalgo Villa Olímpica",14250,"Tlalpan","Ciudad de México","Mexico",19.296697,-99.1881
"-99.1881, 19.296697",-99.1881,19.296697,NA,"entidad: CdMx<br>Delegación: Tlalpan<br>colonia: Miguel Hidalgo Villa Olímpica<br>lugar: Villa Olímpica<br>entrecalles: <br>calle: Avenida Insurgentes <br>numero_exterior: Sur 3493<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es<br>lon: -99.1881<br>lat: 19.296697",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Tlalpan","Miguel Hidalgo Villa Olímpica","Villa Olímpica","","Avenida Insurgentes","Sur 3493",NA,"https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es",-99.1881,19.296697,"Av. Insurgentes Sur 3493, Miguel Hidalgo Villa Olímpica, 14250 Ciudad de México, CDMX, Mexico","Avenida Insurgentes Sur","3493","Miguel Hidalgo Villa Olímpica",14250,"Tlalpan","Ciudad de México","Mexico",19.296697,-99.1881
"-99.1881, 19.296697",-99.1881,19.296697,NA,"entidad: CdMx<br>Delegación: Tlalpan<br>colonia: Miguel Hidalgo Villa Olímpica<br>lugar: Villa Olímpica<br>entrecalles: <br>calle: Avenida Insurgentes <br>numero_exterior: Sur 3493<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es<br>lon: -99.1881<br>lat: 19.296697",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Tlalpan","Miguel Hidalgo Villa Olímpica","Villa Olímpica","","Avenida Insurgentes","Sur 3493",NA,"https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es",-99.1881,19.296697,"Av. Insurgentes Sur 3493, Miguel Hidalgo Villa Olímpica, 14250 Ciudad de México, CDMX, Mexico","Avenida Insurgentes Sur","3493","Miguel Hidalgo Villa Olímpica",14250,"Tlalpan","Ciudad de México","Mexico",19.296697,-99.1881
"-99.121312, 19.303176",-99.121312,19.303176,NA,"entidad: CdMx<br>Delegación: Coyoacan<br>colonia: Campestre Coyoacan<br>lugar: Deportivo Rosario Iglesias.<br>entrecalles: <br>calle: Calz. del Hueso 400, Los Girasoles, 04920 <br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Centro+Social+y+Deportivo+Rosario+Iglesias+Rocha/@19.3033029,-99.1233128,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0198314c94f1:0xa7e901200af3b194!8m2!3d19.3032979!4d-99.1211187?hl=es<br>lon: -99.121312<br>lat: 19.303176",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Coyoacan","Campestre Coyoacan","Deportivo Rosario Iglesias.","","Calz. del Hueso 400, Los Girasoles, 04920","",NA,"https://www.google.com.mx/maps/place/Centro+Social+y+Deportivo+Rosario+Iglesias+Rocha/@19.3033029,-99.1233128,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0198314c94f1:0xa7e901200af3b194!8m2!3d19.3032979!4d-99.1211187?hl=es",-99.121312,19.303176,"Calz. del Hueso 400, Coapa 28 Bis, 14320 Ciudad de México, CDMX, Mexico","Calzada del Hueso","400","Coapa 28 Bis",14320,"Tlalpan","Ciudad de México","Mexico",19.303176,-99.121312
