"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","entidad","Delegaci__n","colonia","lugar","entrecalles","calle","numero_exterior","Necesidades","link_google_maps","lon","lat","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-99.1535962, 19.4424244",-99.1535962,19.4424244,NA,"entidad: CdMx<br>Delegación: Cuauhtémoc<br>colonia: Buenavista<br>lugar: Deportivo Cuautémoc<br>entrecalles: <br>calle: Luis Donaldo Colosio esq. Aldama,<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Deportivo+Cuauhtemoc/@19.4424244,-99.1535962,17z/data=!4m12!1m6!3m5!1s0x85d1f8d0b146cc93:0x6bf172007e144911!2sDeportivo+Cuauhtemoc!8m2!3d19.4424244!4d-99.1514075!3m4!1s0x85d1f8d0b146cc93:0x6bf172007e144911!8m2!3d19.4424244!4d-99.1514075<br>lon: -99.1535962<br>lat: 19.4424244",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Cuauhtémoc","Buenavista","Deportivo Cuautémoc","","Luis Donaldo Colosio esq. Aldama,","",NA,"https://www.google.com.mx/maps/place/Deportivo+Cuauhtemoc/@19.4424244,-99.1535962,17z/data=!4m12!1m6!3m5!1s0x85d1f8d0b146cc93:0x6bf172007e144911!2sDeportivo+Cuauhtemoc!8m2!3d19.4424244!4d-99.1514075!3m4!1s0x85d1f8d0b146cc93:0x6bf172007e144911!8m2!3d19.4424244!4d-99.1514075",-99.1535962,19.4424244,"Luis Donaldo Colosio 274, Buenavista, 06350 Ciudad de México, CDMX, Mexico","Luis Donaldo Colosio","274","Buenavista",6350,"Cuauhtémoc","Ciudad de México","Mexico",19.4424244,-99.1535962
"-99.1617717, 19.4553387",-99.1617717,19.4553387,NA,"entidad: CdMx<br>Delegación: Cuauhtémoc<br>colonia: Atlampa<br>lugar: Preparatoria Popular Martires de Tlatelolco AC <br>entrecalles: <br>calle: Calle Fresno <br>numero_exterior: 301<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Preparatoria+Popular+Martires+de+Tlatelolco+AC+(Bachillerato)/@19.4553387,-99.1617717,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8c24c6a66b7:0xa7f381afae2a236c!8m2!3d19.4553387!4d-99.159583<br>lon: -99.1617717<br>lat: 19.4553387",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Cuauhtémoc","Atlampa","Preparatoria Popular Martires de Tlatelolco AC","","Calle Fresno","301",NA,"https://www.google.com.mx/maps/place/Preparatoria+Popular+Martires+de+Tlatelolco+AC+(Bachillerato)/@19.4553387,-99.1617717,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8c24c6a66b7:0xa7f381afae2a236c!8m2!3d19.4553387!4d-99.159583",-99.1617717,19.4553387,"Av. Ricardo Flores Magón 492, Sta María la Ribera, 06400 Ciudad de México, CDMX, Mexico","Avenida Ricardo Flores Magón","492","Santa María la Ribera",6400,"Cuauhtémoc","Ciudad de México","Mexico",19.4553387,-99.1617717
"-99.11004, 19.483316",-99.11004,19.483316,NA,"entidad: CdMx<br>Delegación: Gustavo A. Madero<br>colonia: Villa Gustavo A. Madero<br>lugar: Casa del peregrino. <br>entrecalles: <br>calle: Eje 5 Nte Calz San Juan de ARAGON 63<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Casa+Del+Peregrino+San+Juan+Diego/@19.4832959,-99.1122879,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f9828f6d605b:0x5fbfa967ac6a44b9!8m2!3d19.4832959!4d-99.1100992?hl=es<br>lon: -99.11004<br>lat: 19.483316",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Gustavo A. Madero","Villa Gustavo A. Madero","Casa del peregrino.","","Eje 5 Nte Calz San Juan de ARAGON 63","",NA,"https://www.google.com.mx/maps/place/Casa+Del+Peregrino+San+Juan+Diego/@19.4832959,-99.1122879,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f9828f6d605b:0x5fbfa967ac6a44b9!8m2!3d19.4832959!4d-99.1100992?hl=es",-99.11004,19.483316,"Calz. San Juan de Aragón 69-109, 15 de Agosto, 07050 Ciudad de México, CDMX, Mexico","Calzada San Juan de Aragón","69-109","15 de Agosto",7050,"Gustavo A. Madero","Ciudad de México","Mexico",19.483316,-99.11004
"-99.155068, 19.506756",-99.155068,19.506756,NA,"entidad: CdMx<br>Delegación: Gustavo A. Madero<br>colonia: La Patera Vallejo<br>lugar: Villa Mujeres. <br>entrecalles: <br>calle: Margarita Maza de Juárez 150 Bis,<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Centro+de+Asistencia+e+Integraci%C3%B3n+Social+Villa+Mujeres/@19.5070796,-99.1570639,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8371140cd57:0xd87c8d1e7b30916f!8m2!3d19.5070796!4d-99.1548752?hl=es<br>lon: -99.155068<br>lat: 19.506756",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Gustavo A. Madero","La Patera Vallejo","Villa Mujeres.","","Margarita Maza de Juárez 150 Bis,","",NA,"https://www.google.com.mx/maps/place/Centro+de+Asistencia+e+Integraci%C3%B3n+Social+Villa+Mujeres/@19.5070796,-99.1570639,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8371140cd57:0xd87c8d1e7b30916f!8m2!3d19.5070796!4d-99.1548752?hl=es",-99.155068,19.506756,"Margarita Maza de Juárez 150B, Margarita Maza de Juárez Deportivo, 07700 Ciudad de México, CDMX, Mexico","Margarita Maza de Juárez","150B","Margarita Maza de Juárez Deportivo",7700,"Gustavo A. Madero","Ciudad de México","Mexico",19.506756,-99.155068
"-99.068666, 19.414111",-99.068666,19.414111,NA,"entidad: CdMx<br>Delegación: Iztacalco<br>colonia: Colonia Pantitlán<br>lugar: Casa del Adulto Mayor Elena Poniatowska<br>entrecalles: <br>calle: Calle 1 s/n, entre Guadalupe y talleres gráficos<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Casa+Elena+Poniatowska/@19.4143229,-99.104791,13z/data=!4m5!1m2!2m1!1sCasa+del+Adulto+Mayor+Elena+Poniatowska!3m1!1s0x85d1fc5d00000001:0xb56e6db75fe5433b?hl=es<br>lon: -99.068666<br>lat: 19.414111",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Iztacalco","Colonia Pantitlán","Casa del Adulto Mayor Elena Poniatowska","","Calle 1 s/n, entre Guadalupe y talleres gráficos","",NA,"https://www.google.com.mx/maps/place/Casa+Elena+Poniatowska/@19.4143229,-99.104791,13z/data=!4m5!1m2!2m1!1sCasa+del+Adulto+Mayor+Elena+Poniatowska!3m1!1s0x85d1fc5d00000001:0xb56e6db75fe5433b?hl=es",-99.068666,19.414111,"Calle Talleres Gráficos 80BIS, Agrícola Pantitlán, 08100 Ciudad de México, CDMX, Mexico","Calle Talleres Gráficos","80BIS","Agrícola Pantitlán",8100,"Iztacalco","Ciudad de México","Mexico",19.414111,-99.068666
"-99.131704, 19.398999",-99.131704,19.398999,NA,"entidad: CdMx<br>Delegación: Iztapalapa<br>colonia: Viaducto Piedad<br>lugar: Cais Coruña Jóvenes<br>entrecalles: <br>calle: Sur <br>numero_exterior: 65-A 3246<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Cais+Coru%C3%B1a+J%C3%B3venes/@19.3990368,-99.1339035,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1feefcba12f0d:0xd99abb63fed49194!8m2!3d19.3990368!4d-99.1317148<br>lon: -99.131704<br>lat: 19.398999",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Iztapalapa","Viaducto Piedad","Cais Coruña Jóvenes","","Sur","65-A 3246",NA,"https://www.google.com.mx/maps/place/Cais+Coru%C3%B1a+J%C3%B3venes/@19.3990368,-99.1339035,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1feefcba12f0d:0xd99abb63fed49194!8m2!3d19.3990368!4d-99.1317148",-99.131704,19.398999,"Calz. Sta. Anita 122, Viaducto Piedad, 08200 Ciudad de México, CDMX, Mexico","Calzada Santa Anita","122","Viaducto Piedad",8200,"Iztacalco","Ciudad de México","Mexico",19.398999,-99.131704
"-99.116757, 19.401163",-99.116757,19.401163,NA,"entidad: CdMx<br>Delegación: Iztacalco<br>colonia: Colonia Fraccionamiento Coyuya<br>lugar: Centro Social Fraccionamiento Coyuya <br>entrecalles: <br>calle: Av Coyuya s/n, esquina 1ero de mayo, <br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Centro+Social+Fraccionamiento+Coyuya/@19.401279,-99.1190151,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fe91999e9c63:0x15386c301de2485d!8m2!3d19.401274!4d-99.116821?hl=es<br>lon: -99.116757<br>lat: 19.401163",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Iztacalco","Colonia Fraccionamiento Coyuya","Centro Social Fraccionamiento Coyuya","","Av Coyuya s/n, esquina 1ero de mayo,","",NA,"https://www.google.com.mx/maps/place/Centro+Social+Fraccionamiento+Coyuya/@19.401279,-99.1190151,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fe91999e9c63:0x15386c301de2485d!8m2!3d19.401274!4d-99.116821?hl=es",-99.116757,19.401163,"Cólica 16, Coyuya, 08320 Ciudad de México, CDMX, Mexico","Cólica","16","Coyuya",8320,"Iztacalco","Ciudad de México","Mexico",19.401163,-99.116757
"-99.091637, 19.407581",-99.091637,19.407581,NA,"entidad: CdMx<br>Delegación: Iztacalco<br>colonia: Granjas México<br>lugar: Sala de Armas de la Magdalena Mixihuca<br>entrecalles: <br>calle: Boulevard <br>numero_exterior: 5<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Sala+de+Armas/@19.407729,-99.0921998,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipM7gWi7X06Tfzy-mZIrmFRKVxIa3AhGWa9SRnZ3!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipM7gWi7X06Tfzy-mZIrmFRKVxIa3AhGWa9SRnZ3%3Dw152-h86-k-no!7i5312!8i2988!4m8!1m2!2m1!1sSala+de+Armas+de+la+Magdalena+Mixihuca!3m4!1s0x0:0x33d905d1609b2854!8m2!3d19.4077288!4d-99.0921997<br>lon: -99.091637<br>lat: 19.407581",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Iztacalco","Granjas México","Sala de Armas de la Magdalena Mixihuca","","Boulevard","5",NA,"https://www.google.com.mx/maps/place/Sala+de+Armas/@19.407729,-99.0921998,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipM7gWi7X06Tfzy-mZIrmFRKVxIa3AhGWa9SRnZ3!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipM7gWi7X06Tfzy-mZIrmFRKVxIa3AhGWa9SRnZ3%3Dw152-h86-k-no!7i5312!8i2988!4m8!1m2!2m1!1sSala+de+Armas+de+la+Magdalena+Mixihuca!3m4!1s0x0:0x33d905d1609b2854!8m2!3d19.4077288!4d-99.0921997",-99.091637,19.407581,"Boulevard 5, Granjas México, 08400 Ciudad de México, CDMX, Mexico","Boulevard","5","Granjas México",8400,"Iztacalco","Ciudad de México","Mexico",19.407581,-99.091637
"-99.081541, 19.393284",-99.081541,19.393284,NA,"entidad: CdMx<br>Delegación: Iztacalco<br>colonia: Agrícola Oriental <br>lugar: Casa de la Mujer Mariposas Iztacalco <br>entrecalles: <br>calle: Sur 20 y Oriente 227<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/CIAM/@19.3933269,-99.083751,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fc35c9dd8e3f:0xb37f4f9c132e216!8m2!3d19.3933219!4d-99.0815569?hl=es<br>lon: -99.081541<br>lat: 19.393284",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Iztacalco","Agrícola Oriental","Casa de la Mujer Mariposas Iztacalco","","Sur 20 y Oriente 227","",NA,"https://www.google.com.mx/maps/place/CIAM/@19.3933269,-99.083751,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fc35c9dd8e3f:0xb37f4f9c132e216!8m2!3d19.3933219!4d-99.0815569?hl=es",-99.081541,19.393284,"Ote. 229 442, Agrícola Oriental, 08500 Ciudad de México, CDMX, Mexico","Oriente 229","442","Agrícola Oriental",8500,"Iztacalco","Ciudad de México","Mexico",19.393284,-99.081541
"-99.173115, 19.453989",-99.173115,19.453989,NA,"entidad: CdMx<br>Delegación: Miguel Hidalgo<br>colonia: Nextitla<br>lugar: Deportivo Plan Sexenal<br>entrecalles: <br>calle: Calle Ferrocarril de Cuernavaca<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Deportivo+Plan+Sexenal/@19.4542365,-99.1751592,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f895efda1e37:0xd664cccbee1d6a82!8m2!3d19.4542315!4d-99.1729651?hl=es<br>lon: -99.173115<br>lat: 19.453989",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Miguel Hidalgo","Nextitla","Deportivo Plan Sexenal","","Calle Ferrocarril de Cuernavaca","",NA,"https://www.google.com.mx/maps/place/Deportivo+Plan+Sexenal/@19.4542365,-99.1751592,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f895efda1e37:0xd664cccbee1d6a82!8m2!3d19.4542315!4d-99.1729651?hl=es",-99.173115,19.453989,"Plan de Guadalupe 82, Nextitla, 11420 Ciudad de México, CDMX, Mexico","Plan de Guadalupe","82","Nextitla",11420,"Miguel Hidalgo","Ciudad de México","Mexico",19.453989,-99.173115
