"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-92.99306, 16.6133299",-92.99306,16.6133299,"Escuela Primaria Abelardo de la Torre Grajales","Colonia América Libre, Chiapa de Corzo, Chiapas",NA,NA,NA,NA,-1,0,-1,NA,NA,"Carr. Internacional 4300, El Zapote, Chis., Mexico","Carretera Internacional","4300",NA,NA,"El Zapote","Chiapas","Mexico",16.6133299,-92.99306
"-93.0960846, 16.7461073",-93.0960846,16.7461073,"CEDECO Bienestar Social","29077, Av Miguel Hidalgo 716, Bienestar Soc, Tuxtla Gutiérrez, Chis.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Av Miguel Hidalgo 646, Bienestar Soc, 29077 Tuxtla Gutiérrez, Chis., Mexico","Avenida Miguel Hidalgo","646","Bienestar Social",29077,"Tuxtla Gutiérrez","Chiapas","Mexico",16.7461073,-93.0960846
"-93.6503819, 16.668298",-93.6503819,16.668298,"Auditorio Municipal Jiquipilas","Calle Central y Avenida Central S/N, Jiquipilas, Chiapas, Centro C.P. 30430 Jiquipilas, Chiapas.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Primera Calle Pte. 52, Centro, Chis., Mexico","Primera Calle Poniente","52","Centro",NA,"Centro","Chiapas","Mexico",16.668298,-93.6503819
"-93.7593409, 16.0948072",-93.7593409,16.0948072,"Salon De Usos Múltiples ""Joaquín miguel Gutierrez""","Salon De Usos Múltiples ""Joaquín miguel Gutierrez""",NA,NA,NA,NA,-1,0,-1,NA,NA,"Av Penitenciaria LB, Cocoteros, 30500 Tonalá, Chis., Mexico","Avenida Penitenciaria","LB","Cocoteros",30500,"Tonalá","Chiapas","Mexico",16.0948072,-93.7593409
"-93.8553214, 16.056887",-93.8553214,16.056887,"Escuela Preparatoria Juan Sabines Gutiérrez","Carretera Tonala-Paredon Kilometro 11.5. Tonalá, Chiapas.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Pescadores, Paredón, Paredón Viejo, Chis., Mexico","Pescadores",NA,"Paredón",NA,"Paredón Viejo","Chiapas","Mexico",16.056887,-93.8553214
"-93.9168406, 16.228721",-93.9168406,16.228721,"Unidad Deportiva Arriaga","Calle Universitario, Arriaga, Chis. CP. 30450",NA,NA,NA,NA,-1,0,-1,NA,NA,"Tapachula - Juchitán de Zaragoza, Bellavista San Isidro, 30450 Arriaga, Chis., Mexico","Tapachula - Juchitán de Zaragoza",NA,"Bellavista San Isidro",30450,"Arriaga","Chiapas","Mexico",16.228721,-93.9168406
