X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-93.0960846,16.7461073,CEDECO Bienestar Social,"29077, Av Miguel Hidalgo 716, Bienestar Soc, Tuxtla Gutiérrez, Chis.",,,,,-1,0,-1,,
-93.6503819,16.668298,Auditorio Municipal Jiquipilas,"Calle Central y Avenida Central S/N, Jiquipilas, Chiapas, Centro C.P. 30430 Jiquipilas, Chiapas.",,,,,-1,0,-1,,
-93.9168406,16.228721,Unidad Deportiva Arriaga,"Calle Universitario, Arriaga, Chis. CP. 30450",,,,,-1,0,-1,,
-93.8553214,16.056887,Escuela Preparatoria Juan Sabines Gutiérrez,"Carretera Tonala-Paredon Kilometro 11.5. Tonalá, Chiapas.",,,,,-1,0,-1,,
-93.7593409,16.0948072,"Salon De Usos Múltiples ""Joaquín miguel Gutierrez""","Salon De Usos Múltiples ""Joaquín miguel Gutierrez""",,,,,-1,0,-1,,
-92.99306,16.6133299,Escuela Primaria Abelardo de la Torre Grajales,"Colonia América Libre, Chiapa de Corzo, Chiapas",,,,,-1,0,-1,,
