"coordenadas","Calle","Colonia","Delegacin","EspecialistasFaltantesseparaporcomas","Estado","Foto","HerramientasExistentes","HerramientasFaltantes","Hora","HoradelReporte","ManodeObraExistente","ManodeObraFaltante","MedicamentosExistentes","MedicamentosFaltantes","Municipio","NmeroExterioroAproximado","NmerodePersonasAtrapadas","NmerodePersonasDesaparecidas","NmerodePersonasFallecidas","NmerodePersonasLesionadas","NmerodePersonasRescatadas","OtraReferenciadeUbicacin","Timestamp","TipoDao","TipodeInfraestructura","TipodeUso","TipodelDao","Verificado","VveresExistentes","VveresFaltantes","VveresSobrantes","latitud","longitud","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-99.0058241214137, 19.3831015819675","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:15:57","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Viveres",19.3831015819675,-99.0058241214137,"Av de las Torres 180, Gral Vicente Villada, 57710 Nezahualcóyotl, Méx., Mexico","Avenida de las Torres","180","General Vicente Villada","57710","Nezahualcóyotl","Estado de México","Mexico",19.3831015819675,-99.0058241214137
"-99.0088741, 19.29576","Isabel la catolica","Obrera","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",135,"0","No sé","No sé","Sí, pero no sé cuántos","No sé","Fray Servando Teresa de Mier ","9/20/2017 16:55:38","Derrumbe","Edificio","Oficinas","Derrumbe","","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.29576,-99.0088741,"Isabel La Católica 7-174, Guadalupe, Ciudad de México, CDMX, Mexico","Isabel La Católica","7-174","Guadalupe",NA,"Ciudad de México","Ciudad de México","Mexico",19.29576,-99.0088741
"-99.0099612, 19.2861725","De los montes","Sineo","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Cascos, harneses, material de trabajo",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","nada ","",0,"No sé","No sé","No sé","No sé","No sé","Esquina con Viaducto","9/20/2017 16:46:01","Derrumbe","Edificio","nose","Derrumbe","","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.2861725,-99.0099612,NA,NA,NA,NA,NA,NA,NA,NA,19.2861725,-99.0099612
"-99.0107573, 19.2548411","División del norte","Del valle","","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","lámparas, oxígeno en tanque",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","no","no","",0,"Sí, pero no sé cuántos","No sé","No sé","Sí, pero no sé cuántos","No sé","Vertiz","9/20/2017 19:55:58","Derrumbe","Edificio","Habitacional","Derrumbe","Sí","no","no","Si tienes info entra a: http://bit.ly/Verificado19s",19.2548411,-99.0107573,"División del Nte. 2, Calyequita, 16750 Ciudad de México, CDMX, Mexico","División del Norte","2","Calyequita","16750","Ciudad de México","Ciudad de México","Mexico",19.2548411,-99.0107573
"-99.0131389, 19.293304","ALVARO OBREGON","HIPODROMO CONDESA","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","NO","LAMPARAS DE MINERO, LUCES FOSFORECENTES",1506179243.12777,NA,"NO","NO","NO","NO","",286,"No sé","No sé","No sé","No sé","No sé","","9/21/2017 21:57:23","Derrumbe","No sé","Mixto","Derrumbe","Sí","NO","NO","Si tienes info entra a: http://bit.ly/Verificado19s",19.293304,-99.0131389,"Álvaro Obregón 286, Guadalupe, 13450 Ciudad de México, CDMX, Mexico","Álvaro Obregón","286","Guadalupe","13450","Ciudad de México","Ciudad de México","Mexico",19.293304,-99.0131389
"-99.0190887451172, 19.3590892459343","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:01:55","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","7 personas",19.3590892459343,-99.0190887451172,"Tabasco 93, San Sebastián Tecoloxtitla, 09560 Ciudad de México, CDMX, Mexico","Tabasco","93","San Sebastián Tecoloxtitla","09560","Ciudad de México","Ciudad de México","Mexico",19.3590892459343,-99.0190887451172
"-99.0205425, 19.352056","20 de noviembre","Cuauhtémoc","No Aplica (fuera de CDMX)","Ingenieros civiles, arquitectos","Morelos","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","Emiliano Zapata",1,"","","","","","","9/22/2017 22:05:13","Derrumbe","Casa","","Derrumbe","No","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.352056,-99.0205425,"20 de Noviembre 1, Zacatepec, 09560 Ciudad de México, CDMX, Mexico","20 de Noviembre","1","Zacatepec","09560","Ciudad de México","Ciudad de México","Mexico",19.352056,-99.0205425
"-99.0225348, 19.3704498","César Elpidio Canales","Santa Martha Acatitla","Iztapalapa","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","Ninguno","Ninguno",NA,NA,"Ninguno","Albañilería, tabiques, varillas, cemento, ","Ninguno","Ninguno","",91,"0","0","0","0","0","Cayetano Andrade y Escuadrón Trujano","9/21/2017 13:55:04","Daño","Casa","Habitacional","Daño","Sí","Ninguno","Ninguno","Si tienes info entra a: http://bit.ly/Verificado19s",19.3704498,-99.0225348,"Elpidio Canales 152, Zona Urbana Ejidal Santa Martha Acatitla Sur, 09530 Ciudad de México, CDMX, Mexico","Elpidio Canales","152","Zona Urbana Ejidal Santa Martha Acatitla Sur","09530","Ciudad de México","Ciudad de México","Mexico",19.3704498,-99.0225348
"-99.0228322, 19.256511","Francisco I. Madero ","Barrio Santa Crucita","Xochimilco","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","Carretilla, picos y barretas","Mazos, palas y cinceles",1506179243.12777,NA,"Apoyo de brigadas delegacionales, arquitectos para valoración y los mismos habitantes ","Gente para turnar la labor","Ninguno ","Ninguno","Xochimilco",59,"0","0","0","0","0","Junto a la pulquería ""Templo de Diana""","9/21/2017 21:28:40","Derrumbe","Casa","Habitacional","Derrumbe","Sí","Despensa básica ","Agua","Si tienes info entra a: http://bit.ly/Verificado19s",19.256511,-99.0228322,NA,NA,NA,NA,NA,NA,NA,NA,19.256511,-99.0228322
"-99.0245333, 19.3474051","Calle 5 de mayo","Valle de Luces","Iztapalapa","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",61,"","","","","","Entre calle Tizoc y antiguo camino a los reyes edificio blanco con rojo","9/22/2017 10:49:48","Daño","Edificio","Habitacional","Daño","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.3474051,-99.0245333,"Calle 5 de Mayo 61, Ojito de Agua, 09500 Ciudad de México, CDMX, Mexico","Calle 5 de Mayo","61","Ojito de Agua","09500","Ciudad de México","Ciudad de México","Mexico",19.3474051,-99.0245333
