X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,entidad,Delegaci__n,colonia,lugar,entrecalles,calle,numero_exterior,Necesidades,link_google_maps,lon,lat
-99.155068,19.506756,,"entidad: CdMx<br>Delegación: Gustavo A. Madero<br>colonia: La Patera Vallejo<br>lugar: Villa Mujeres. <br>entrecalles: <br>calle: Margarita Maza de Juárez 150 Bis,<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Centro+de+Asistencia+e+Integraci%C3%B3n+Social+Villa+Mujeres/@19.5070796,-99.1570639,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8371140cd57:0xd87c8d1e7b30916f!8m2!3d19.5070796!4d-99.1548752?hl=es<br>lon: -99.155068<br>lat: 19.506756",,,,,-1,0,-1,,,CdMx,Gustavo A. Madero,La Patera Vallejo,Villa Mujeres.,,"Margarita Maza de Juárez 150 Bis,",,,"https://www.google.com.mx/maps/place/Centro+de+Asistencia+e+Integraci%C3%B3n+Social+Villa+Mujeres/@19.5070796,-99.1570639,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8371140cd57:0xd87c8d1e7b30916f!8m2!3d19.5070796!4d-99.1548752?hl=es",-99.155068,19.506756
-99.11004,19.483316,,"entidad: CdMx<br>Delegación: Gustavo A. Madero<br>colonia: Villa Gustavo A. Madero<br>lugar: Casa del peregrino. <br>entrecalles: <br>calle: Eje 5 Nte Calz San Juan de ARAGON 63<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Casa+Del+Peregrino+San+Juan+Diego/@19.4832959,-99.1122879,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f9828f6d605b:0x5fbfa967ac6a44b9!8m2!3d19.4832959!4d-99.1100992?hl=es<br>lon: -99.11004<br>lat: 19.483316",,,,,-1,0,-1,,,CdMx,Gustavo A. Madero,Villa Gustavo A. Madero,Casa del peregrino.,,Eje 5 Nte Calz San Juan de ARAGON 63,,,"https://www.google.com.mx/maps/place/Casa+Del+Peregrino+San+Juan+Diego/@19.4832959,-99.1122879,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f9828f6d605b:0x5fbfa967ac6a44b9!8m2!3d19.4832959!4d-99.1100992?hl=es",-99.11004,19.483316
-99.173115,19.453989,,"entidad: CdMx<br>Delegación: Miguel Hidalgo<br>colonia: Nextitla<br>lugar: Deportivo Plan Sexenal<br>entrecalles: <br>calle: Calle Ferrocarril de Cuernavaca<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Deportivo+Plan+Sexenal/@19.4542365,-99.1751592,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f895efda1e37:0xd664cccbee1d6a82!8m2!3d19.4542315!4d-99.1729651?hl=es<br>lon: -99.173115<br>lat: 19.453989",,,,,-1,0,-1,,,CdMx,Miguel Hidalgo,Nextitla,Deportivo Plan Sexenal,,Calle Ferrocarril de Cuernavaca,,,"https://www.google.com.mx/maps/place/Deportivo+Plan+Sexenal/@19.4542365,-99.1751592,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f895efda1e37:0xd664cccbee1d6a82!8m2!3d19.4542315!4d-99.1729651?hl=es",-99.173115,19.453989
-99.193352,19.448796,,"entidad: CdMx<br>Delegación: Miguel Hidalgo<br>colonia: Reforma Pensil<br>lugar: Deportivo Pavón.<br>entrecalles: <br>calle: Lago Trasimeno s/n, Pensil Norte, Reforma Pensil<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Deportivo+Jos%C3%A9+Mar%C3%ADa+Morelos+y+Pav%C3%B3n/@19.4489988,-99.1955624,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2020bf1d748ab:0xc4d8cce552ab429c!8m2!3d19.4489988!4d-99.1933737?hl=es<br>lon: -99.193352<br>lat: 19.448796",,,,,-1,0,-1,,,CdMx,Miguel Hidalgo,Reforma Pensil,Deportivo Pavón.,,"Lago Trasimeno s/n, Pensil Norte, Reforma Pensil",,,"https://www.google.com.mx/maps/place/Deportivo+Jos%C3%A9+Mar%C3%ADa+Morelos+y+Pav%C3%B3n/@19.4489988,-99.1955624,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2020bf1d748ab:0xc4d8cce552ab429c!8m2!3d19.4489988!4d-99.1933737?hl=es",-99.193352,19.448796
-99.188787,19.405886,,"entidad: CdMx<br>Delegación: Miguel Hidalgo<br>colonia: Parque Lira.<br>lugar: Museo<br>entrecalles: <br>calle: Calle Parque Lira 136, San Miguel Chapultepec I Secc<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Parque+Lira/@19.4087361,-99.7539062,9z/data=!4m8!1m2!2m1!1sParque+Lira!3m4!1s0x85d1ff602023b927:0x1fddc46a70142978!8m2!3d19.4054861!4d-99.189804?hl=es<br>lon: -99.188787<br>lat: 19.405886",,,,,-1,0,-1,,,CdMx,Miguel Hidalgo,Parque Lira.,Museo,,"Calle Parque Lira 136, San Miguel Chapultepec I Secc",,,"https://www.google.com.mx/maps/place/Parque+Lira/@19.4087361,-99.7539062,9z/data=!4m8!1m2!2m1!1sParque+Lira!3m4!1s0x85d1ff602023b927:0x1fddc46a70142978!8m2!3d19.4054861!4d-99.189804?hl=es",-99.188787,19.405886
-99.0407647,19.205914,,"entidad: <br>Delegación: MilpaAlta<br>colonia: Santa Martha<br>lugar: Gimnasio de Villa Milpa Alta<br>entrecalles: <br>calle: Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633<br>lon: -99.0407647<br>lat: 19.205914",,,,,-1,0,-1,,,,MilpaAlta,Santa Martha,Gimnasio de Villa Milpa Alta,,"Sinaloa Nte. Sn, Milpa Alta, Barrio Santa Martha",,,"https://www.google.com.mx/maps/place/Gimnasio+de+Villa+Milpa+Alta/@19.205914,-99.0407647,15z/data=!4m8!1m2!2m1!1sGimnasio+villa+Milpalta!3m4!1s0x0:0xcebd6c90acabbf39!8m2!3d19.200012!4d-99.0266633",-99.0407647,19.205914
-99.091637,19.407581,,"entidad: CdMx<br>Delegación: Iztacalco<br>colonia: Granjas México<br>lugar: Sala de Armas de la Magdalena Mixihuca<br>entrecalles: <br>calle: Boulevard <br>numero_exterior: 5<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Sala+de+Armas/@19.407729,-99.0921998,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipM7gWi7X06Tfzy-mZIrmFRKVxIa3AhGWa9SRnZ3!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipM7gWi7X06Tfzy-mZIrmFRKVxIa3AhGWa9SRnZ3%3Dw152-h86-k-no!7i5312!8i2988!4m8!1m2!2m1!1sSala+de+Armas+de+la+Magdalena+Mixihuca!3m4!1s0x0:0x33d905d1609b2854!8m2!3d19.4077288!4d-99.0921997<br>lon: -99.091637<br>lat: 19.407581",,,,,-1,0,-1,,,CdMx,Iztacalco,Granjas México,Sala de Armas de la Magdalena Mixihuca,,Boulevard,5,,"https://www.google.com.mx/maps/place/Sala+de+Armas/@19.407729,-99.0921998,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipM7gWi7X06Tfzy-mZIrmFRKVxIa3AhGWa9SRnZ3!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipM7gWi7X06Tfzy-mZIrmFRKVxIa3AhGWa9SRnZ3%3Dw152-h86-k-no!7i5312!8i2988!4m8!1m2!2m1!1sSala+de+Armas+de+la+Magdalena+Mixihuca!3m4!1s0x0:0x33d905d1609b2854!8m2!3d19.4077288!4d-99.0921997",-99.091637,19.407581
-99.068666,19.414111,,"entidad: CdMx<br>Delegación: Iztacalco<br>colonia: Colonia Pantitlán<br>lugar: Casa del Adulto Mayor Elena Poniatowska<br>entrecalles: <br>calle: Calle 1 s/n, entre Guadalupe y talleres gráficos<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Casa+Elena+Poniatowska/@19.4143229,-99.104791,13z/data=!4m5!1m2!2m1!1sCasa+del+Adulto+Mayor+Elena+Poniatowska!3m1!1s0x85d1fc5d00000001:0xb56e6db75fe5433b?hl=es<br>lon: -99.068666<br>lat: 19.414111",,,,,-1,0,-1,,,CdMx,Iztacalco,Colonia Pantitlán,Casa del Adulto Mayor Elena Poniatowska,,"Calle 1 s/n, entre Guadalupe y talleres gráficos",,,"https://www.google.com.mx/maps/place/Casa+Elena+Poniatowska/@19.4143229,-99.104791,13z/data=!4m5!1m2!2m1!1sCasa+del+Adulto+Mayor+Elena+Poniatowska!3m1!1s0x85d1fc5d00000001:0xb56e6db75fe5433b?hl=es",-99.068666,19.414111
-99.116757,19.401163,,"entidad: CdMx<br>Delegación: Iztacalco<br>colonia: Colonia Fraccionamiento Coyuya<br>lugar: Centro Social Fraccionamiento Coyuya <br>entrecalles: <br>calle: Av Coyuya s/n, esquina 1ero de mayo, <br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Centro+Social+Fraccionamiento+Coyuya/@19.401279,-99.1190151,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fe91999e9c63:0x15386c301de2485d!8m2!3d19.401274!4d-99.116821?hl=es<br>lon: -99.116757<br>lat: 19.401163",,,,,-1,0,-1,,,CdMx,Iztacalco,Colonia Fraccionamiento Coyuya,Centro Social Fraccionamiento Coyuya,,"Av Coyuya s/n, esquina 1ero de mayo,",,,"https://www.google.com.mx/maps/place/Centro+Social+Fraccionamiento+Coyuya/@19.401279,-99.1190151,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fe91999e9c63:0x15386c301de2485d!8m2!3d19.401274!4d-99.116821?hl=es",-99.116757,19.401163
-99.081541,19.393284,,"entidad: CdMx<br>Delegación: Iztacalco<br>colonia: Agrícola Oriental <br>lugar: Casa de la Mujer Mariposas Iztacalco <br>entrecalles: <br>calle: Sur 20 y Oriente 227<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/CIAM/@19.3933269,-99.083751,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fc35c9dd8e3f:0xb37f4f9c132e216!8m2!3d19.3933219!4d-99.0815569?hl=es<br>lon: -99.081541<br>lat: 19.393284",,,,,-1,0,-1,,,CdMx,Iztacalco,Agrícola Oriental,Casa de la Mujer Mariposas Iztacalco,,Sur 20 y Oriente 227,,,"https://www.google.com.mx/maps/place/CIAM/@19.3933269,-99.083751,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fc35c9dd8e3f:0xb37f4f9c132e216!8m2!3d19.3933219!4d-99.0815569?hl=es",-99.081541,19.393284
-99.131704,19.398999,,"entidad: CdMx<br>Delegación: Iztapalapa<br>colonia: Viaducto Piedad<br>lugar: Cais Coruña Jóvenes<br>entrecalles: <br>calle: Sur <br>numero_exterior: 65-A 3246<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Cais+Coru%C3%B1a+J%C3%B3venes/@19.3990368,-99.1339035,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1feefcba12f0d:0xd99abb63fed49194!8m2!3d19.3990368!4d-99.1317148<br>lon: -99.131704<br>lat: 19.398999",,,,,-1,0,-1,,,CdMx,Iztapalapa,Viaducto Piedad,Cais Coruña Jóvenes,,Sur,65-A 3246,,"https://www.google.com.mx/maps/place/Cais+Coru%C3%B1a+J%C3%B3venes/@19.3990368,-99.1339035,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1feefcba12f0d:0xd99abb63fed49194!8m2!3d19.3990368!4d-99.1317148",-99.131704,19.398999
-99.168238,19.279424,,"entidad: CdMx<br>Delegación: Tlalpan<br>colonia: Tlalpan Centro II<br>lugar: Deportivo La Joya<br>entrecalles: <br>calle: Av. Insurgentes Sur <br>numero_exterior: 4342-S<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Deportivo+La+Joya/@19.2794671,-99.1704116,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce008d4ee8ff0d:0x1140f545e7e3f9cb!8m2!3d19.2794671!4d-99.1682229?hl=es<br>lon: -99.168238<br>lat: 19.279424",,,,,-1,0,-1,,,CdMx,Tlalpan,Tlalpan Centro II,Deportivo La Joya,,Av. Insurgentes Sur,4342-S,,"https://www.google.com.mx/maps/place/Deportivo+La+Joya/@19.2794671,-99.1704116,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce008d4ee8ff0d:0x1140f545e7e3f9cb!8m2!3d19.2794671!4d-99.1682229?hl=es",-99.168238,19.279424
-99.1881,19.296697,,"entidad: CdMx<br>Delegación: Tlalpan<br>colonia: Miguel Hidalgo Villa Olímpica<br>lugar: Villa Olímpica<br>entrecalles: <br>calle: Avenida Insurgentes <br>numero_exterior: Sur 3493<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es<br>lon: -99.1881<br>lat: 19.296697",,,,,-1,0,-1,,,CdMx,Tlalpan,Miguel Hidalgo Villa Olímpica,Villa Olímpica,,Avenida Insurgentes,Sur 3493,,"https://www.google.com.mx/maps/place/Villa+Olimpica/@19.2968874,-99.1893644,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0077e51e6ae7:0x1a49893de8a89994!8m2!3d19.2968874!4d-99.1871757?hl=es",-99.1881,19.296697
