X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,entidad,Delegaci__n,colonia,lugar,entrecalles,calle,numero_exterior,Necesidades,link_google_maps,lon,lat
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
-99.219172,18.941471,,"entidad: Morelos<br>Delegación: Cuernavaca<br>colonia: Vista Hermosa <br>lugar: Fundacion Comunitaria Morelense<br>entrecalles: <br>calle: Av. San Diego <br>numero_exterior: 501<br>Necesidades: <br>link_google_maps: https://www.google.com/maps/place/Av.+San+Diego+501,+zona+1,+Lomas+de+Vista+Hermosa,+62293+Cuernavaca,+Mor.,+M%C3%A9xico/@18.9415824,-99.2213769,17z/data=!4m13!1m7!3m6!1s0x85cddfc43ef74801:0xc6f77d97789a9027!2sAv.+San+Diego+501,+zona+1,+Lomas+de+Vista+Hermosa,+62293+Cuernavaca,+Mor.,+M%C3%A9xico!3b1!8m2!3d18.9415824!4d-99.2191882!3m4!1s0x85cddfc43ef74801:0xc6f77d97789a9027!8m2!3d18.9415824!4d-99.2191882<br>lon: -99.219172<br>lat: 18.941471",,,,,-1,0,-1,,,Morelos,Cuernavaca,Vista Hermosa,Fundacion Comunitaria Morelense,,Av. San Diego,501,,"https://www.google.com/maps/place/Av.+San+Diego+501,+zona+1,+Lomas+de+Vista+Hermosa,+62293+Cuernavaca,+Mor.,+M%C3%A9xico/@18.9415824,-99.2213769,17z/data=!4m13!1m7!3m6!1s0x85cddfc43ef74801:0xc6f77d97789a9027!2sAv.+San+Diego+501,+zona+1,+Lomas+de+Vista+Hermosa,+62293+Cuernavaca,+Mor.,+M%C3%A9xico!3b1!8m2!3d18.9415824!4d-99.2191882!3m4!1s0x85cddfc43ef74801:0xc6f77d97789a9027!8m2!3d18.9415824!4d-99.2191882",-99.219172,18.941471
,,,entidad: Morelos<br>Delegación: Cuernavaca<br>colonia: Emiliano Zapata<br>lugar: Iglesia de Jesu Cristo<br>entrecalles: <br>calle: Calle Sufragio Efectivo 46<br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,Morelos,Cuernavaca,Emiliano Zapata,Iglesia de Jesu Cristo,,Calle Sufragio Efectivo 46,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
,,,entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat:,,,,,,,-1,,,,,,,,,,,,,
-99.22525,18.910399,,"entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: rufino tamayo 46<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com/maps/place/Rufino+Tamayo+46,+Acapantzingo,+62440+Cuernavaca,+Mor.,+M%C3%A9xico/@18.9102849,-99.2254785,20z/data=!4m5!3m4!1s0x85cddf0787d3e5f9:0x5867d663b9ec9133!8m2!3d18.9104004!4d-99.2252418<br>lon: -99.22525<br>lat: 18.910399",,,,,-1,0,-1,,,,,,,,rufino tamayo 46,,,"https://www.google.com/maps/place/Rufino+Tamayo+46,+Acapantzingo,+62440+Cuernavaca,+Mor.,+M%C3%A9xico/@18.9102849,-99.2254785,20z/data=!4m5!3m4!1s0x85cddf0787d3e5f9:0x5867d663b9ec9133!8m2!3d18.9104004!4d-99.2252418",-99.22525,18.910399
