"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-92.6365632, 16.7321447",-92.6365632,16.7321447,"Iglesia de Santa Lucía","<img src=""https://lh4.googleusercontent.com/DxD7EDA0rwMHn9yvbCOiAF_V3Ig7YjCOUQMAM2TjlEDfBOgpe7tvXWynky-nzsxRgjYqpWMDkYf8GBGrOX4UvWzD6d7BzTVyiq5UoiOcRMzYBg97KNhcJjA42FcuD-MQiA"" height=""200"" width=""auto"" /><br><br>",NA,NA,NA,NA,-1,0,-1,NA,NA,"Dr. Ramón Corona 3, Sta Lucia, 29250 San Cristóbal de las Casas, Chis., Mexico","Doctor Ramón Corona","3","Santa Lucia","29250","San Cristóbal de las Casas","Chiapas","Mexico",16.7321447,-92.6365632
"-92.6382342, 16.7369917",-92.6382342,16.7369917,"Palacio Municipal (Museo de San Cristóbal) ","<img src=""https://lh3.googleusercontent.com/HVW2P4xHtrCEP1uaC9kPXof_2w4FQ0OUcSNKXWC34CAYfjK0aBAYplOfePqmkehPQ5q6cAbysiejf6wNej9yb_dMjKlJNe05_dr18j-JvM9q7Abw_-tqGmM7RqrNLQCh"" height=""200"" width=""auto"" /><br><br>",NA,NA,NA,NA,-1,0,-1,NA,NA,"Calle Diego de Mazariegos 8A, Zona Centro, 29200 San Cristóbal de las Casas, Chis., Mexico","Calle Diego de Mazariegos","8A","Zona Centro","29200","San Cristóbal de las Casas","Chiapas","Mexico",16.7369917,-92.6382342
"-93.0750024, 16.7461176",-93.0750024,16.7461176,"Plaza Ámbar","<img src=""https://lh3.googleusercontent.com/_aGMXLu9S0SthhzEZYM_DTGTOklfuxVJ_vUkco9_T8_LrJdDvUp_8UsW668TSOhyWGTs-aFhB37NyRpqLvPfKjyvmuWUGqc4ErPGupu90Cb7sDGk5G8amE2VjXEWCEsdaQ"" height=""200"" width=""auto"" /><br><br>Fuente: twitter",NA,NA,NA,NA,-1,0,-1,NA,NA,"Carr. Panamericana a Chiapa de Corzo, Zona Sin Asignación de Nombre de Col 24, Tuxtla Gutiérrez, Chis., Mexico","Carretera Panamericana a Chiapa de Corzo",NA,"Zona Sin Asignación de Nombre de Colonia 24",NA,"Tuxtla Gutiérrez","Chiapas","Mexico",16.7461176,-93.0750024
"-93.0975598, 16.7450311",-93.0975598,16.7450311,"Antena Caída Bienestar Social","<img src=""https://lh6.googleusercontent.com/HZVm6fxkrF9MdXbQMJveFPjubj5p2haJeIuELCjmk678jI7O7cEKwUAcqA1BV0ETEThd_G6rI7nA7CvtXxBBlB1BZBLGntCEa91apJhvdVyduY7fnLqeirJ7hpXtDXtW"" height=""200"" width=""auto"" /><br><br>",NA,NA,NA,NA,-1,0,-1,NA,NA,"16 de Septiembre 589, Bienestar Soc, 29077 Tuxtla Gutiérrez, Chis., Mexico","16 de Septiembre","589","Bienestar Social","29077","Tuxtla Gutiérrez","Chiapas","Mexico",16.7450311,-93.0975598
"-93.11773, 16.7540026",-93.11773,16.7540026,"Museo de la Ciudad","Describir daños<br>morado: valor arquitectónico",NA,NA,NA,NA,-1,0,-1,NA,NA,"Av Central Pte 288, Guadalupe, 29000 Tuxtla Gutiérrez, Chis., Mexico","Avenida Central Poniente","288","Guadalupe","29000","Tuxtla Gutiérrez","Chiapas","Mexico",16.7540026,-93.11773
